,,,A&E attendances,,,,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,,
RVJ,NHS England South West ,North Bristol NHS Trust,7700,0,0,7700,5914,0,0,5914,1786,0,0,1786,0.7680519480519481,0.7680519480519481,-,-,3111,0,0,3111,1625,4736,618,26,November-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10137,1958,0,12095,8283,1906,0,10189,1854,52,0,1906,0.842414220752377,0.817105652559929,0.9734422880490297,-,3371,10,0,3381,979,4360,325,0,November-2018
NLW,NHS England South West ,Bristol Community Health,0,0,4834,4834,0,0,4822,4822,0,0,12,12,0.9975175837815474,-,-,0.9975175837815474,0,0,0,0,0,0,0,0,November-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7917,0,0,7917,6348,0,0,6348,1569,0,0,1569,0.8018188707843881,0.8018188707843881,-,-,3152,0,0,3152,1781,4933,749,9,November-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10825,2054,0,12879,8344,1989,0,10333,2481,65,0,2546,0.8023138442425655,0.7708083140877598,0.9683544303797469,-,3572,10,0,3582,954,4536,706,0,November-2019
RVJ,NHS England South West ,North Bristol NHS Trust,6425,0,0,6425,5008,0,0,5008,1417,0,0,1417,0.779455252918288,0.779455252918288,-,-,2847,0,0,2847,1462,4309,621,3,November-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,10635,1578,0,12213,7713,1550,0,9263,2922,28,0,2950,0.7584541062801933,0.7252468265162201,0.982256020278834,-,3645,7,0,3652,791,4443,1186,201,November-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8133,0,0,8133,4894,0,0,4894,3239,0,0,3239,0.6017459731956227,0.6017459731956227,-,-,3031,0,0,3031,1707,4738,840,59,November-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14208,1841,0,16049,8487,1768,0,10255,5721,73,0,5794,0.6389806218455979,0.597339527027027,0.9603476371537208,-,3838,10,0,3848,703,4551,1825,706,November-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8228,0,0,8228,4796,0,0,4796,3432,0,0,3432,0.5828877005347594,0.5828877005347594,-,-,3044,0,0,3044,1638,4682,1082,433,November-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15046,2137,0,17183,7652,2000,0,9652,7394,137,0,7531,0.5617179770703602,0.5085737072976206,0.9358914365933552,-,4136,12,0,4148,1255,5403,2006,862,November-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8605,0,0,8605,5453,0,0,5453,3152,0,0,3152,0.6337013364323067,0.6337013364323067,-,-,2803,0,0,2803,1997,4800,977,213,November-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15369,2212,0,17581,9020,2130,0,11150,6349,82,0,6431,0.634207382970252,0.5868956991346217,0.9629294755877035,-,5126,11,0,5137,1611,6748,1721,361,November-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4959,4959,0,0,4953,4953,0,0,6,6,0.9987900786448881,-,-,0.9987900786448881,0,0,0,0,0,0,0,0,October-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7848,0,0,7848,6505,0,0,6505,1343,0,0,1343,0.8288735983690112,0.8288735983690112,-,-,3018,0,0,3018,1722,4740,389,0,October-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10265,2174,0,12439,8945,2145,0,11090,1320,29,0,1349,0.8915507677466035,0.8714076960545543,0.9866605335786569,-,3277,14,0,3291,1007,4298,225,1,October-2018
NLW,NHS England South West ,Bristol Community Health,0,0,5226,5226,0,0,5215,5215,0,0,11,11,0.9978951396861845,-,-,0.9978951396861845,0,0,0,0,0,0,0,0,October-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8365,0,0,8365,6695,0,0,6695,1670,0,0,1670,0.8003586371787209,0.8003586371787209,-,-,3334,0,0,3334,1830,5164,761,4,October-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,10679,2244,0,12923,8437,2217,0,10654,2242,27,0,2269,0.8244215739379401,0.7900552486187845,0.9879679144385026,-,3479,7,0,3486,920,4406,603,0,October-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7238,0,0,7238,5940,0,0,5940,1298,0,0,1298,0.8206686930091185,0.8206686930091185,-,-,3076,0,0,3076,1435,4511,519,12,October-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,11796,1659,0,13455,9104,1636,0,10740,2692,23,0,2715,0.798216276477146,0.7717870464564259,0.9861362266425557,-,3946,4,0,3950,832,4782,1027,87,October-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8614,0,0,8614,5239,0,0,5239,3375,0,0,3375,0.6081959600650104,0.6081959600650104,-,-,3096,0,0,3096,1608,4704,958,29,October-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15126,1915,0,17041,8762,1868,0,10630,6364,47,0,6411,0.623789683704008,0.5792674864471771,0.9754569190600523,-,3920,5,0,3925,656,4581,1941,594,October-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8696,0,0,8696,4998,0,0,4998,3698,0,0,3698,0.5747470101195952,0.5747470101195952,-,-,3195,0,0,3195,1478,4673,1179,482,October-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14871,2017,0,16888,8137,1927,0,10064,6734,90,0,6824,0.5959261013737566,0.5471723488669222,0.955379276152702,-,4150,14,0,4164,1018,5182,2002,941,October-2022
RVJ,NHS England South West ,North Bristol NHS Trust,9040,0,0,9040,5475,0,0,5475,3565,0,0,3565,0.605641592920354,0.605641592920354,-,-,2682,0,0,2682,2044,4726,966,223,October-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,15469,2445,0,17914,9283,2311,0,11594,6186,134,0,6320,0.6472033046779055,0.6001034326717952,0.9451942740286299,-,5170,7,0,5177,1562,6739,1617,276,October-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4633,4633,0,0,4630,4630,0,0,3,3,0.9993524714008202,-,-,0.9993524714008202,0,0,0,0,0,0,0,0,September-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7805,0,0,7805,5979,0,0,5979,1826,0,0,1826,0.766047405509289,0.766047405509289,-,-,2966,0,0,2966,1504,4470,434,0,September-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9515,1927,0,11442,7848,1878,0,9726,1667,49,0,1716,0.8500262191924488,0.8248029427220178,0.9745718733783082,-,3023,9,0,3032,778,3810,302,0,September-2018
NLW,NHS England South West ,Bristol Community Health,0,0,4807,4807,0,0,4778,4778,0,0,29,29,0.9939671312669024,-,-,0.9939671312669024,0,0,0,0,0,0,0,0,September-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8450,0,0,8450,7194,0,0,7194,1256,0,0,1256,0.8513609467455622,0.8513609467455622,-,-,3161,0,0,3161,1805,4966,448,0,September-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9909,2113,0,12022,7730,2058,0,9788,2179,55,0,2234,0.8141740143071037,0.7800988999899081,0.9739706578324657,-,3127,15,0,3142,807,3949,467,0,September-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7670,0,0,7670,6731,0,0,6731,939,0,0,939,0.8775749674054759,0.8775749674054759,-,-,3007,0,0,3007,1349,4356,187,0,September-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12118,1676,0,13794,9558,1638,0,11196,2560,38,0,2598,0.8116572422792518,0.7887440171645486,0.977326968973747,-,4012,12,0,4024,846,4870,674,6,September-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8392,0,0,8392,5182,0,0,5182,3210,0,0,3210,0.6174928503336511,0.6174928503336511,-,-,3005,0,0,3005,1682,4687,818,38,September-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14696,1958,0,16654,9025,1878,0,10903,5671,80,0,5751,0.6546775549417557,0.6141126837234622,0.9591419816138917,-,3831,5,0,3836,592,4428,1748,456,September-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8414,0,0,8414,4748,0,0,4748,3666,0,0,3666,0.564297599239363,0.564297599239363,-,-,3210,0,0,3210,1355,4565,1022,261,September-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13730,2035,0,15765,7853,1923,0,9776,5877,112,0,5989,0.6201078338090708,0.571959213401311,0.9449631449631449,-,3897,14,0,3911,1086,4997,1660,717,September-2022
RVJ,NHS England South West ,North Bristol NHS Trust,9086,0,0,9086,5845,0,0,5845,3241,0,0,3241,0.6432973805855162,0.6432973805855162,-,-,2711,0,0,2711,2015,4726,715,23,September-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,14632,2175,0,16807,9231,2064,0,11295,5401,111,0,5512,0.6720414113167132,0.63087752870421,0.9489655172413793,-,4639,13,0,4652,1416,6068,1233,193,September-2023
